M_ID,value,meas_ID,type,sub_type,units,date,year,doy,dap
5,9.15612373,aerial_dw,avg,NA,ton_ha,01/13/2015,2015,13,182
5,15.53591511,aerial_dw,avg,NA,ton_ha,02/09/2015,2015,40,209
5,30.06022069,aerial_dw,avg,NA,ton_ha,03/16/2015,2015,75,244
5,38.06931704,aerial_dw,avg,NA,ton_ha,04/16/2015,2015,106,275
5,34.71068217,aerial_dw,avg,NA,ton_ha,05/14/2015,2015,134,303
3,2.675285714,aerial_dw,max,NA,ton_ha,12/27/2013,2013,361,72
3,7.84,aerial_dw,max,NA,ton_ha,01/15/2014,2014,15,91
3,16.50068571,aerial_dw,max,NA,ton_ha,02/10/2014,2014,41,117
3,18.33133333,aerial_dw,max,NA,ton_ha,03/11/2014,2014,70,146
3,31.9667619,aerial_dw,max,NA,ton_ha,04/05/2014,2014,95,171
3,26.90264452,aerial_dw,max,NA,ton_ha,05/10/2014,2014,130,206
3,31.20980952,aerial_dw,max,NA,ton_ha,05/31/2014,2014,151,227
3,39.43463333,aerial_dw,max,NA,ton_ha,07/01/2014,2014,182,258
4,2.23252381,aerial_dw,max,NA,ton_ha,12/27/2013,2013,361,72
4,5.253733333,aerial_dw,max,NA,ton_ha,01/15/2014,2014,15,91
4,12.51249524,aerial_dw,max,NA,ton_ha,02/10/2014,2014,41,117
4,10.31724876,aerial_dw,max,NA,ton_ha,03/11/2014,2014,70,146
4,21.81013333,aerial_dw,max,NA,ton_ha,04/05/2014,2014,95,171
4,28.62857143,aerial_dw,max,NA,ton_ha,05/10/2014,2014,130,206
4,37.6805,aerial_dw,max,NA,ton_ha,05/31/2014,2014,151,227
4,39.08714286,aerial_dw,max,NA,ton_ha,07/01/2014,2014,182,258
6,0.745311688,aerial_dw,max,NA,ton_ha,10/29/2014,2014,302,106
6,4.154923913,aerial_dw,max,NA,ton_ha,12/11/2014,2014,345,149
6,14.64694322,aerial_dw,max,NA,ton_ha,01/13/2015,2015,13,182
6,29.72657073,aerial_dw,max,NA,ton_ha,02/09/2015,2015,40,209
6,43.16155251,aerial_dw,max,NA,ton_ha,03/16/2015,2015,75,244
6,35.49475792,aerial_dw,max,NA,ton_ha,04/16/2015,2015,106,275
6,46.06322921,aerial_dw,max,NA,ton_ha,05/14/2015,2015,134,303
5,0.428956661,aerial_dw,max,NA,ton_ha,10/29/2014,2014,302,106
5,5.325114286,aerial_dw,max,NA,ton_ha,12/11/2014,2014,345,149
5,11.04669178,aerial_dw,max,NA,ton_ha,01/13/2015,2015,13,182
5,14.57401464,aerial_dw,max,NA,ton_ha,02/09/2015,2015,40,209
5,41.19420377,aerial_dw,max,NA,ton_ha,03/16/2015,2015,75,244
5,45.27993838,aerial_dw,max,NA,ton_ha,04/16/2015,2015,106,275
5,43.1190287,aerial_dw,max,NA,ton_ha,05/14/2015,2015,134,303
3,0.966428571,aerial_dw,min,NA,ton_ha,12/27/2013,2013,361,72
3,2.704428571,aerial_dw,min,NA,ton_ha,01/15/2014,2014,15,91
3,7.192542857,aerial_dw,min,NA,ton_ha,02/10/2014,2014,41,117
3,9.892628571,aerial_dw,min,NA,ton_ha,03/11/2014,2014,70,146
3,14.20611429,aerial_dw,min,NA,ton_ha,04/05/2014,2014,95,171
3,14.56,aerial_dw,min,NA,ton_ha,05/10/2014,2014,130,206
3,18.96428571,aerial_dw,min,NA,ton_ha,05/31/2014,2014,151,227
3,21.36274286,aerial_dw,min,NA,ton_ha,07/01/2014,2014,182,258
4,1.331357143,aerial_dw,min,NA,ton_ha,12/27/2013,2013,361,72
4,2.308428571,aerial_dw,min,NA,ton_ha,01/15/2014,2014,15,91
4,6.375,aerial_dw,min,NA,ton_ha,02/10/2014,2014,41,117
4,4.711428571,aerial_dw,min,NA,ton_ha,03/11/2014,2014,70,146
4,11.50128571,aerial_dw,min,NA,ton_ha,04/05/2014,2014,95,171
4,12.65142857,aerial_dw,min,NA,ton_ha,05/10/2014,2014,130,206
4,14.58657143,aerial_dw,min,NA,ton_ha,05/31/2014,2014,151,227
4,18.56494286,aerial_dw,min,NA,ton_ha,07/01/2014,2014,182,258
6,0.274146104,aerial_dw,min,NA,ton_ha,10/29/2014,2014,302,106
6,2.919841615,aerial_dw,min,NA,ton_ha,12/11/2014,2014,345,149
6,9.130225596,aerial_dw,min,NA,ton_ha,01/13/2015,2015,13,182
6,10.26657518,aerial_dw,min,NA,ton_ha,02/09/2015,2015,40,209
6,24.41627815,aerial_dw,min,NA,ton_ha,03/16/2015,2015,75,244
6,20.59003599,aerial_dw,min,NA,ton_ha,04/16/2015,2015,106,275
6,25.82941278,aerial_dw,min,NA,ton_ha,05/14/2015,2015,134,303
5,0.280895666,aerial_dw,min,NA,ton_ha,10/29/2014,2014,302,106
5,3.045822078,aerial_dw,min,NA,ton_ha,12/11/2014,2014,345,149
5,6.977476591,aerial_dw,min,NA,ton_ha,01/13/2015,2015,13,182
5,7.728900122,aerial_dw,min,NA,ton_ha,02/09/2015,2015,40,209
5,22.90695903,aerial_dw,min,NA,ton_ha,03/16/2015,2015,75,244
5,29.18720925,aerial_dw,min,NA,ton_ha,04/16/2015,2015,106,275
5,20.19183974,aerial_dw,min,NA,ton_ha,05/14/2015,2015,134,303
3,0.104909739,aerial_dw,std,NA,ton_ha,12/27/2013,2013,361,72
3,0.271123538,aerial_dw,std,NA,ton_ha,01/15/2014,2014,15,91
3,0.30129548,aerial_dw,std,NA,ton_ha,02/10/2014,2014,41,117
3,0.09230196,aerial_dw,std,NA,ton_ha,03/11/2014,2014,70,146
3,1.173784847,aerial_dw,std,NA,ton_ha,04/05/2014,2014,95,171
3,0.43392969,aerial_dw,std,NA,ton_ha,05/10/2014,2014,130,206
3,0.270176569,aerial_dw,std,NA,ton_ha,05/31/2014,2014,151,227
3,0.534239633,aerial_dw,std,NA,ton_ha,07/01/2014,2014,182,258
4,0.018453236,aerial_dw,std,NA,ton_ha,12/27/2013,2013,361,72
4,0.147213216,aerial_dw,std,NA,ton_ha,01/15/2014,2014,15,91
4,0.150035357,aerial_dw,std,NA,ton_ha,02/10/2014,2014,41,117
4,0.336176022,aerial_dw,std,NA,ton_ha,03/11/2014,2014,70,146
4,0.325990387,aerial_dw,std,NA,ton_ha,04/05/2014,2014,95,171
4,0.784364223,aerial_dw,std,NA,ton_ha,05/10/2014,2014,130,206
4,0.40228586,aerial_dw,std,NA,ton_ha,05/31/2014,2014,151,227
4,0.756566006,aerial_dw,std,NA,ton_ha,07/01/2014,2014,182,258
6,0.079754432,aerial_dw,std,NA,ton_ha,10/29/2014,2014,302,106
6,0.224868348,aerial_dw,std,NA,ton_ha,12/11/2014,2014,345,149
6,0.959845443,aerial_dw,std,NA,ton_ha,01/13/2015,2015,13,182
6,5.858058275,aerial_dw,std,NA,ton_ha,02/09/2015,2015,40,209
6,5.179457358,aerial_dw,std,NA,ton_ha,03/16/2015,2015,75,244
6,2.617123376,aerial_dw,std,NA,ton_ha,04/16/2015,2015,106,275
6,3.145208113,aerial_dw,std,NA,ton_ha,05/14/2015,2015,134,303
5,0.025238274,aerial_dw,std,NA,ton_ha,10/29/2014,2014,302,106
5,0.393249153,aerial_dw,std,NA,ton_ha,12/11/2014,2014,345,149
5,0.688536684,aerial_dw,std,NA,ton_ha,01/13/2015,2015,13,182
5,2.191039607,aerial_dw,std,NA,ton_ha,02/09/2015,2015,40,209
5,4.702347367,aerial_dw,std,NA,ton_ha,03/16/2015,2015,75,244
5,3.628812196,aerial_dw,std,NA,ton_ha,04/16/2015,2015,106,275
5,3.665526673,aerial_dw,std,NA,ton_ha,05/14/2015,2015,134,303
6,5.854564286,aerial_fw,avg,NA,ton_ha,10/29/2014,2014,302,106
6,32.48352381,aerial_fw,avg,NA,ton_ha,12/11/2014,2014,345,149
6,103.1733333,aerial_fw,avg,NA,ton_ha,01/13/2015,2015,13,182
6,128.3671429,aerial_fw,avg,NA,ton_ha,02/09/2015,2015,40,209
6,196.826381,aerial_fw,avg,NA,ton_ha,03/16/2015,2015,75,244
6,138.672,aerial_fw,avg,NA,ton_ha,04/16/2015,2015,106,275
6,176.544,aerial_fw,avg,NA,ton_ha,05/14/2015,2015,134,303
5,3.561257143,aerial_fw,avg,NA,ton_ha,10/29/2014,2014,302,106
5,39.75182143,aerial_fw,avg,NA,ton_ha,12/11/2014,2014,345,149
5,103.1045714,aerial_fw,avg,NA,ton_ha,01/13/2015,2015,13,182
5,99.82583333,aerial_fw,avg,NA,ton_ha,02/09/2015,2015,40,209
5,158.2908791,aerial_fw,avg,NA,ton_ha,03/16/2015,2015,75,244
5,199.08,aerial_fw,avg,NA,ton_ha,04/16/2015,2015,106,275
5,170.2368,aerial_fw,avg,NA,ton_ha,05/14/2015,2015,134,303
6,7.998828571,aerial_fw,max,NA,ton_ha,10/29/2014,2014,302,106
6,36.84,aerial_fw,max,NA,ton_ha,12/11/2014,2014,345,149
6,128.918,aerial_fw,max,NA,ton_ha,01/13/2015,2015,13,182
6,144.7607143,aerial_fw,max,NA,ton_ha,02/09/2015,2015,40,209
6,243.0628571,aerial_fw,max,NA,ton_ha,03/16/2015,2015,75,244
6,185.76,aerial_fw,max,NA,ton_ha,04/16/2015,2015,106,275
6,221.4,aerial_fw,max,NA,ton_ha,05/14/2015,2015,134,303
5,3.940114286,aerial_fw,max,NA,ton_ha,10/29/2014,2014,302,106
5,53.02596429,aerial_fw,max,NA,ton_ha,12/11/2014,2014,345,149
5,114.4047143,aerial_fw,max,NA,ton_ha,01/13/2015,2015,13,182
5,112.0867857,aerial_fw,max,NA,ton_ha,02/09/2015,2015,40,209
5,217.93,aerial_fw,max,NA,ton_ha,03/16/2015,2015,75,244
5,243.54,aerial_fw,max,NA,ton_ha,04/16/2015,2015,106,275
5,221.94,aerial_fw,max,NA,ton_ha,05/14/2015,2015,134,303
6,3.613928571,aerial_fw,min,NA,ton_ha,10/29/2014,2014,302,106
6,11.75371429,aerial_fw,min,NA,ton_ha,12/11/2014,2014,345,149
6,22.09612251,aerial_fw,min,NA,ton_ha,01/13/2015,2015,13,182
6,31.7160119,aerial_fw,min,NA,ton_ha,02/09/2015,2015,40,209
6,138.4757143,aerial_fw,min,NA,ton_ha,03/16/2015,2015,75,244
6,105.3,aerial_fw,min,NA,ton_ha,04/16/2015,2015,106,275
6,129.06,aerial_fw,min,NA,ton_ha,05/14/2015,2015,134,303
5,2.4752,aerial_fw,min,NA,ton_ha,10/29/2014,2014,302,106
5,10.73228571,aerial_fw,min,NA,ton_ha,12/11/2014,2014,345,149
5,22.91433373,aerial_fw,min,NA,ton_ha,01/13/2015,2015,13,182
5,21.68601355,aerial_fw,min,NA,ton_ha,02/09/2015,2015,40,209
5,121.0164286,aerial_fw,min,NA,ton_ha,03/16/2015,2015,75,244
5,151.74,aerial_fw,min,NA,ton_ha,04/16/2015,2015,106,275
5,98.28,aerial_fw,min,NA,ton_ha,05/14/2015,2015,134,303
6,0.655072698,aerial_fw,std,NA,ton_ha,10/29/2014,2014,302,106
6,1.536300713,aerial_fw,std,NA,ton_ha,12/11/2014,2014,345,149
6,8.150593039,aerial_fw,std,NA,ton_ha,01/13/2015,2015,13,182
6,5.323055663,aerial_fw,std,NA,ton_ha,02/09/2015,2015,40,209
6,16.74617263,aerial_fw,std,NA,ton_ha,03/16/2015,2015,75,244
6,11.33928763,aerial_fw,std,NA,ton_ha,04/16/2015,2015,106,275
6,13.64618836,aerial_fw,std,NA,ton_ha,05/14/2015,2015,134,303
5,0.164190213,aerial_fw,std,NA,ton_ha,10/29/2014,2014,302,106
5,4.621078666,aerial_fw,std,NA,ton_ha,12/11/2014,2014,345,149
5,4.207944959,aerial_fw,std,NA,ton_ha,01/13/2015,2015,13,182
5,3.95296753,aerial_fw,std,NA,ton_ha,02/09/2015,2015,40,209
5,12.06010001,aerial_fw,std,NA,ton_ha,03/16/2015,2015,75,244
5,11.74891205,aerial_fw,std,NA,ton_ha,04/16/2015,2015,106,275
5,20.33580007,aerial_fw,std,NA,ton_ha,05/14/2015,2015,134,303
1,6,stalk_dw,avg,NA,ton_ha,02/16/2013,2013,97,179
1,12,stalk_dw,avg,NA,ton_ha,03/22/2013,2013,131,212
1,22.8,stalk_dw,avg,NA,ton_ha,05/15/2013,2013,185,267
1,30.6,stalk_dw,avg,NA,ton_ha,06/14/2013,2013,215,296
3,0,stalk_dw,avg,NA,ton_ha,12/27/2013,2013,361,72
3,0.568523025,stalk_dw,avg,NA,ton_ha,01/15/2014,2014,15,91
3,4.364125547,stalk_dw,avg,NA,ton_ha,02/10/2014,2014,41,117
3,7.3001998,stalk_dw,avg,NA,ton_ha,03/11/2014,2014,70,146
3,11.4460575,stalk_dw,avg,NA,ton_ha,04/05/2014,2014,95,171
3,12.66213745,stalk_dw,avg,NA,ton_ha,05/10/2014,2014,130,206
3,14.8423,stalk_dw,avg,NA,ton_ha,05/31/2014,2014,151,227
3,19.92670714,stalk_dw,avg,NA,ton_ha,07/01/2014,2014,182,258
4,0,stalk_dw,avg,NA,ton_ha,12/27/2013,2013,361,72
4,0.722932326,stalk_dw,avg,NA,ton_ha,01/15/2014,2014,15,91
4,1.860474103,stalk_dw,avg,NA,ton_ha,02/10/2014,2014,41,117
4,3.95205624,stalk_dw,avg,NA,ton_ha,03/11/2014,2014,70,146
4,11.70103125,stalk_dw,avg,NA,ton_ha,04/05/2014,2014,95,171
4,12.20719048,stalk_dw,avg,NA,ton_ha,05/10/2014,2014,130,206
4,14.9693,stalk_dw,avg,NA,ton_ha,05/31/2014,2014,151,227
4,17.73455086,stalk_dw,avg,NA,ton_ha,07/01/2014,2014,182,258
6,0,stalk_dw,avg,NA,ton_ha,10/29/2014,2014,302,106
6,0.438571429,stalk_dw,avg,NA,ton_ha,12/11/2014,2014,345,149
6,7.200087094,stalk_dw,avg,NA,ton_ha,01/13/2015,2015,13,182
6,14.38416214,stalk_dw,avg,NA,ton_ha,02/09/2015,2015,40,209
6,28.57546667,stalk_dw,avg,NA,ton_ha,03/16/2015,2015,75,244
6,21.4992,stalk_dw,avg,NA,ton_ha,04/16/2015,2015,106,275
6,29.3328,stalk_dw,avg,NA,ton_ha,05/14/2015,2015,134,303
5,0,stalk_dw,avg,NA,ton_ha,10/29/2014,2014,302,106
5,1.059107143,stalk_dw,avg,NA,ton_ha,12/11/2014,2014,345,149
5,5.469759416,stalk_dw,avg,NA,ton_ha,01/13/2015,2015,13,182
5,6.021210526,stalk_dw,avg,NA,ton_ha,02/09/2015,2015,40,209
5,23.63934066,stalk_dw,avg,NA,ton_ha,03/16/2015,2015,75,244
5,30.9168,stalk_dw,avg,NA,ton_ha,04/16/2015,2015,106,275
5,27.80496,stalk_dw,avg,NA,ton_ha,05/14/2015,2015,134,303
3,0,stalk_dw,max,NA,ton_ha,12/27/2013,2013,361,72
3,1.964571429,stalk_dw,max,NA,ton_ha,01/15/2014,2014,15,91
3,7.8432,stalk_dw,max,NA,ton_ha,02/10/2014,2014,41,117
3,9.034285714,stalk_dw,max,NA,ton_ha,03/11/2014,2014,70,146
3,21.83,stalk_dw,max,NA,ton_ha,04/05/2014,2014,95,171
3,20.47,stalk_dw,max,NA,ton_ha,05/10/2014,2014,130,206
3,18.73571429,stalk_dw,max,NA,ton_ha,05/31/2014,2014,151,227
3,29.436,stalk_dw,max,NA,ton_ha,07/01/2014,2014,182,258
4,0,stalk_dw,max,NA,ton_ha,12/27/2013,2013,361,72
4,1.498,stalk_dw,max,NA,ton_ha,01/15/2014,2014,15,91
4,3.713142857,stalk_dw,max,NA,ton_ha,02/10/2014,2014,41,117
4,7.746032,stalk_dw,max,NA,ton_ha,03/11/2014,2014,70,146
4,14.62537143,stalk_dw,max,NA,ton_ha,04/05/2014,2014,95,171
4,21.53571429,stalk_dw,max,NA,ton_ha,05/10/2014,2014,130,206
4,21.78192857,stalk_dw,max,NA,ton_ha,05/31/2014,2014,151,227
4,28.35857143,stalk_dw,max,NA,ton_ha,07/01/2014,2014,182,258
6,0,stalk_dw,max,NA,ton_ha,10/29/2014,2014,302,106
6,0.614,stalk_dw,max,NA,ton_ha,12/11/2014,2014,345,149
6,9.733497748,stalk_dw,max,NA,ton_ha,01/13/2015,2015,13,182
6,23.181189,stalk_dw,max,NA,ton_ha,02/09/2015,2015,40,209
6,34.70657143,stalk_dw,max,NA,ton_ha,03/16/2015,2015,75,244
6,27.756,stalk_dw,max,NA,ton_ha,04/16/2015,2015,106,275
6,36.072,stalk_dw,max,NA,ton_ha,05/14/2015,2015,134,303
5,0,stalk_dw,max,NA,ton_ha,10/29/2014,2014,302,106
5,1.48275,stalk_dw,max,NA,ton_ha,12/11/2014,2014,345,149
5,6.636837209,stalk_dw,max,NA,ton_ha,01/13/2015,2015,13,182
5,9.74679667,stalk_dw,max,NA,ton_ha,02/09/2015,2015,40,209
5,33.44271429,stalk_dw,max,NA,ton_ha,03/16/2015,2015,75,244
5,36.72,stalk_dw,max,NA,ton_ha,04/16/2015,2015,106,275
5,33.588,stalk_dw,max,NA,ton_ha,05/14/2015,2015,134,303
3,0,stalk_dw,min,NA,ton_ha,12/27/2013,2013,361,72
3,0.157142857,stalk_dw,min,NA,ton_ha,01/15/2014,2014,15,91
3,1.089671429,stalk_dw,min,NA,ton_ha,02/10/2014,2014,41,117
3,4.756071429,stalk_dw,min,NA,ton_ha,03/11/2014,2014,70,146
3,7.664914286,stalk_dw,min,NA,ton_ha,04/05/2014,2014,95,171
3,8.282857143,stalk_dw,min,NA,ton_ha,05/10/2014,2014,130,206
3,10.83071429,stalk_dw,min,NA,ton_ha,05/31/2014,2014,151,227
3,12.48617143,stalk_dw,min,NA,ton_ha,07/01/2014,2014,182,258
7,0,stalk_dw,avg,NA,ton_ha,07/01/2014,2015,289,130
8,1.3,stalk_dw,avg,NA,ton_ha,07/01/2014,2015,289,130
7,33.1,stalk_dw,avg,NA,ton_ha,07/01/2014,2016,156,362
8,32.9,stalk_dw,avg,NA,ton_ha,07/01/2014,2016,156,362
7,0,stalk_fw,avg,NA,ton_ha,07/01/2014,2015,289,130
8,5.2,stalk_fw,avg,NA,ton_ha,07/01/2014,2015,289,130
7,138.358,stalk_fw,avg,NA,ton_ha,07/01/2014,2016,156,362
8,141.141,stalk_fw,avg,NA,ton_ha,07/01/2014,2016,156,362
4,0,stalk_dw,min,NA,ton_ha,12/27/2013,2013,361,72
4,0.167142857,stalk_dw,min,NA,ton_ha,01/15/2014,2014,15,91
4,0.692142857,stalk_dw,min,NA,ton_ha,02/10/2014,2014,41,117
4,1.602857143,stalk_dw,min,NA,ton_ha,03/11/2014,2014,70,146
4,7.612,stalk_dw,min,NA,ton_ha,04/05/2014,2014,95,171
4,7.405714286,stalk_dw,min,NA,ton_ha,05/10/2014,2014,130,206
4,8.821428571,stalk_dw,min,NA,ton_ha,05/31/2014,2014,151,227
4,10.47971429,stalk_dw,min,NA,ton_ha,07/01/2014,2014,182,258
6,0,stalk_dw,min,NA,ton_ha,10/29/2014,2014,302,106
6,0.175428571,stalk_dw,min,NA,ton_ha,12/11/2014,2014,345,149
6,5.452122507,stalk_dw,min,NA,ton_ha,01/13/2015,2015,13,182
6,5.67172619,stalk_dw,min,NA,ton_ha,02/09/2015,2015,40,209
6,21.03428571,stalk_dw,min,NA,ton_ha,03/16/2015,2015,75,244
6,16.308,stalk_dw,min,NA,ton_ha,04/16/2015,2015,106,275
6,22.032,stalk_dw,min,NA,ton_ha,05/14/2015,2015,134,303
5,0,stalk_dw,min,NA,ton_ha,10/29/2014,2014,302,106
5,0.49425,stalk_dw,min,NA,ton_ha,12/11/2014,2014,345,149
5,4.006905162,stalk_dw,min,NA,ton_ha,01/13/2015,2015,13,182
5,3.462799269,stalk_dw,min,NA,ton_ha,02/09/2015,2015,40,209
5,19.28228571,stalk_dw,min,NA,ton_ha,03/16/2015,2015,75,244
5,24.084,stalk_dw,min,NA,ton_ha,04/16/2015,2015,106,275
5,15.768,stalk_dw,min,NA,ton_ha,05/14/2015,2015,134,303
3,0,stalk_dw,std,NA,ton_ha,12/27/2013,2013,361,72
3,0.107319533,stalk_dw,std,NA,ton_ha,01/15/2014,2014,15,91
3,0.33053537,stalk_dw,std,NA,ton_ha,02/10/2014,2014,41,117
3,0.031874261,stalk_dw,std,NA,ton_ha,03/11/2014,2014,70,146
3,0.682550248,stalk_dw,std,NA,ton_ha,04/05/2014,2014,95,171
3,0.431722408,stalk_dw,std,NA,ton_ha,05/10/2014,2014,130,206
3,0.14617978,stalk_dw,std,NA,ton_ha,05/31/2014,2014,151,227
3,0.516355196,stalk_dw,std,NA,ton_ha,07/01/2014,2014,182,258
4,0,stalk_dw,std,NA,ton_ha,12/27/2013,2013,361,72
4,0.058726833,stalk_dw,std,NA,ton_ha,01/15/2014,2014,15,91
4,0.126785219,stalk_dw,std,NA,ton_ha,02/10/2014,2014,41,117
4,0.300569772,stalk_dw,std,NA,ton_ha,03/11/2014,2014,70,146
4,0.118586019,stalk_dw,std,NA,ton_ha,04/05/2014,2014,95,171
4,0.550079279,stalk_dw,std,NA,ton_ha,05/10/2014,2014,130,206
4,0.013349428,stalk_dw,std,NA,ton_ha,05/31/2014,2014,151,227
4,0.635587912,stalk_dw,std,NA,ton_ha,07/01/2014,2014,182,258
6,0,stalk_dw,std,NA,ton_ha,10/29/2014,2014,302,106
6,0.232070186,stalk_dw,std,NA,ton_ha,12/11/2014,2014,345,149
6,2.246160642,stalk_dw,std,NA,ton_ha,01/13/2015,2015,13,182
6,8.755037902,stalk_dw,std,NA,ton_ha,02/09/2015,2015,40,209
6,13.75914981,stalk_dw,std,NA,ton_ha,03/16/2015,2015,75,244
6,6.152672474,stalk_dw,std,NA,ton_ha,04/16/2015,2015,106,275
6,7.496328912,stalk_dw,std,NA,ton_ha,05/14/2015,2015,134,303
5,0,stalk_dw,std,NA,ton_ha,10/29/2014,2014,302,106
5,0.509155348,stalk_dw,std,NA,ton_ha,12/11/2014,2014,345,149
5,1.339682212,stalk_dw,std,NA,ton_ha,01/13/2015,2015,13,182
5,3.300587636,stalk_dw,std,NA,ton_ha,02/09/2015,2015,40,209
5,11.70976638,stalk_dw,std,NA,ton_ha,03/16/2015,2015,75,244
5,9.578336628,stalk_dw,std,NA,ton_ha,04/16/2015,2015,106,275
5,8.375545819,stalk_dw,std,NA,ton_ha,05/14/2015,2015,134,303
7,5.024386797,stalk_dw,avg,NA,ton_ha,11/26/2015,2015,330,171
7,7.640624438,stalk_dw,avg,NA,ton_ha,12/15/2015,2015,349,190
7,13.02434122,stalk_dw,avg,NA,ton_ha,01/15/2016,2016,15,221
7,22.72228205,stalk_dw,avg,NA,ton_ha,02/28/2016,2016,59,265
8,7.67356769,stalk_dw,avg,NA,ton_ha,11/26/2015,2015,330,171
8,8.447346939,stalk_dw,avg,NA,ton_ha,12/15/2015,2015,349,190
8,18.9403228,stalk_dw,avg,NA,ton_ha,01/15/2016,2016,15,221
8,26.23801838,stalk_dw,avg,NA,ton_ha,02/28/2016,2016,59,265
7,10.92805628,stalk_dw,max,NA,ton_ha,11/26/2015,2015,330,171
7,13.76172507,stalk_dw,max,NA,ton_ha,12/15/2015,2015,349,190
7,22.35405405,stalk_dw,max,NA,ton_ha,01/15/2016,2016,15,221
7,31.78867506,stalk_dw,max,NA,ton_ha,02/28/2016,2016,59,265
8,26.14158462,stalk_dw,max,NA,ton_ha,11/26/2015,2015,330,171
8,16.3187384,stalk_dw,max,NA,ton_ha,12/15/2015,2015,349,190
8,32.91291209,stalk_dw,max,NA,ton_ha,01/15/2016,2016,15,221
8,33.7789425,stalk_dw,max,NA,ton_ha,02/28/2016,2016,59,265
7,0.882881385,stalk_dw,min,NA,ton_ha,11/26/2015,2015,330,171
7,0.172021563,stalk_dw,min,NA,ton_ha,12/15/2015,2015,349,190
7,2.235405405,stalk_dw,min,NA,ton_ha,01/15/2016,2016,15,221
7,17.9158169,stalk_dw,min,NA,ton_ha,02/28/2016,2016,59,265
8,1.763215385,stalk_dw,min,NA,ton_ha,11/26/2015,2015,330,171
8,0.191985158,stalk_dw,min,NA,ton_ha,12/15/2015,2015,349,190
8,9.103571429,stalk_dw,min,NA,ton_ha,01/15/2016,2016,15,221
8,17.03321281,stalk_dw,min,NA,ton_ha,02/28/2016,2016,59,265
7,3.551670672,stalk_dw,std,NA,ton_ha,11/26/2015,2015,330,171
7,3.600829501,stalk_dw,std,NA,ton_ha,12/15/2015,2015,349,190
7,5.224194063,stalk_dw,std,NA,ton_ha,01/15/2016,2016,15,221
7,4.227695196,stalk_dw,std,NA,ton_ha,02/28/2016,2016,59,265
8,7.052211316,stalk_dw,std,NA,ton_ha,11/26/2015,2015,330,171
8,4.27646201,stalk_dw,std,NA,ton_ha,12/15/2015,2015,349,190
8,6.01788247,stalk_dw,std,NA,ton_ha,01/15/2016,2016,15,221
8,5.094375344,stalk_dw,std,NA,ton_ha,02/28/2016,2016,59,265
1,55.2,stalk_fw,avg,NA,ton_ha,02/16/2013,2013,97,179
1,86.7,stalk_fw,avg,NA,ton_ha,03/22/2013,2013,131,212
1,121.8,stalk_fw,avg,NA,ton_ha,05/15/2013,2013,205,287
1,146,stalk_fw,avg,NA,ton_ha,06/14/2013,2013,235,316
6,0,stalk_fw,avg,NA,ton_ha,10/29/2014,2014,302,106
6,4.35647619,stalk_fw,avg,NA,ton_ha,12/11/2014,2014,345,149
6,63.53433333,stalk_fw,avg,NA,ton_ha,01/13/2015,2015,13,182
6,85.33928571,stalk_fw,avg,NA,ton_ha,02/09/2015,2015,40,209
6,142.7117857,stalk_fw,avg,NA,ton_ha,03/16/2015,2015,75,244
6,108.9553846,stalk_fw,avg,NA,ton_ha,04/16/2015,2015,106,275
