date,value,element,unit,sensor,method,treat,lat,lon,crop,season,source,M_ID,meas_ID,type,sub_type,units,year,doy,dap
02/28/2013,5.057389042,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,59,136
03/01/2013,3.984392782,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,60,137
03/02/2013,4.764753699,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,61,138
03/03/2013,5.138676638,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,62,139
03/04/2013,5.47195578,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,63,140
03/08/2013,4.00877906,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,67,144
03/09/2013,3.716143716,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,68,145
03/10/2013,3.683628678,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,69,146
03/11/2013,3.781173793,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,70,147
03/12/2013,4.415217038,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,71,148
03/13/2013,2.716306292,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,72,149
03/14/2013,1.895301577,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,73,150
03/15/2013,4.033165339,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,74,151
03/16/2013,2.821980166,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,75,152
03/17/2013,1.253129572,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,76,153
03/18/2013,2.878881483,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,77,154
03/19/2013,1.757112665,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,78,155
03/20/2013,1.245000813,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,79,156
03/21/2013,2.521216062,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,80,157
03/22/2013,2.106649325,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,81,158
03/23/2013,2.521216062,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,82,159
03/24/2013,3.065842952,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,83,160
03/25/2013,2.537473582,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,84,161
03/26/2013,0.822305316,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,85,162
03/27/2013,1.960331653,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,86,163
03/28/2013,5.154934157,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,87,164
03/29/2013,4.146967973,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,88,165
03/30/2013,3.73500341,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,89,166
03/31/2013,3.594212323,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,90,167
04/01/2013,4.309543164,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,91,168
04/02/2013,0.822305316,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,92,169
04/03/2013,2.742993002,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,93,170
04/04/2013,2.252966997,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,94,171
04/05/2013,1.781498943,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,95,172
04/06/2013,4.140882029,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,96,173
04/07/2013,3.846255246,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,97,174
04/08/2013,4.146967973,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,98,175
04/09/2013,4.520890912,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,99,176
04/10/2013,2.212323199,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,100,177
04/11/2013,3.456023411,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,101,178
04/12/2013,2.805722647,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,102,179
04/13/2013,1.090554381,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,103,180
04/14/2013,2.439928467,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,104,181
04/15/2013,3.724272476,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,105,182
04/16/2013,4.179483011,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,106,183
04/17/2013,3.968135263,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,107,184
04/18/2013,4.407088278,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,108,185
04/19/2013,3.862461388,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,109,186
04/20/2013,3.025199155,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,110,187
04/21/2013,2.691920013,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,111,188
04/22/2013,2.610632417,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,112,189
04/23/2013,2.187936921,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,113,190
04/24/2013,2.553731101,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,114,191
04/25/2013,2.114778085,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,115,192
04/26/2013,1.822142741,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,116,193
05/02/2013,3.155259307,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,122,199
05/03/2013,3.415379613,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,123,200
05/04/2013,3.447894651,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,124,201
05/05/2013,3.244675662,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,125,202
05/06/2013,3.634856121,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,126,203
05/07/2013,3.577954804,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,127,204
05/08/2013,3.740529995,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,128,205
05/09/2013,3.6592424,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,129,206
05/10/2013,3.854332629,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,130,207
05/11/2013,3.545439766,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,131,208
05/12/2013,3.334092018,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,132,209
05/13/2013,2.537473582,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,133,210
05/14/2013,2.805722647,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,134,211
05/15/2013,2.504113866,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,135,212
05/16/2013,2.285482035,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,136,213
05/17/2013,2.39115591,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,137,214
05/26/2013,2.374898391,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,146,223
05/30/2013,2.074134287,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,150,227
05/31/2013,2.651276215,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,151,228
06/01/2013,3.236546903,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,152,229
06/03/2013,1.245000813,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,154,231
06/04/2013,2.659404975,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,155,232
06/05/2013,2.553731101,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,156,233
06/06/2013,3.139001788,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,157,234
06/07/2013,2.870752723,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,158,235
06/08/2013,2.01723297,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,159,236
06/09/2013,2.326125833,et,mm/day,HMP155 + NRLITE2 + HFP01SC,Bowen Ratio + Perez,WithoutMulch,-22.698605,-47.642742,Sugarcane,Cana-Planta,https://murilodsv@bitbucket.org/murilodsv/bowen_ratio.git,1,et,obs,NA,mm/day,2013,160,237
