fdr10cm,fdr20cm,fdr30cm,fdr60cm,year,doy,date,treat
0.341252613,0.341530031,0.371597213,0.41318761,2015,42,2/11/2015,WithoutStraw
0.337921062,0.335994005,0.365732853,0.405552587,2015,43,2/12/2015,WithoutStraw
0.336181883,0.329644476,0.360876879,0.400048836,2015,60,3/1/2015,WithoutStraw
0.325025323,0.320650746,0.3520066,0.396123468,2015,61,3/2/2015,WithoutStraw
0.348436227,0.342224787,0.374627781,0.420101422,2015,69,3/10/2015,WithoutStraw
0.348168239,0.342256412,0.370836601,0.420833187,2015,78,3/19/2015,WithoutStraw
0.347980183,0.345826439,0.383745582,0.416402082,2015,80,3/21/2015,WithoutStraw
0.347821082,0.339793886,0.373212282,0.416261856,2015,82,3/23/2015,WithoutStraw
0.336256238,0.332103484,0.365191965,0.407293661,2015,85,3/26/2015,WithoutStraw
0.33912574,0.334237216,0.365161272,0.40383101,2015,90,3/31/2015,WithoutStraw
0.325666266,0.31816272,0.349718332,0.391971901,2015,98,4/8/2015,WithoutStraw
0.313498818,0.311409584,0.339900117,0.383315785,2015,100,4/10/2015,WithoutStraw
0.292912126,0.295744145,0.329606868,0.379239181,2015,107,4/17/2015,WithoutStraw
0.279396415,0.287700614,0.323817766,0.372273938,2015,112,4/22/2015,WithoutStraw
0.277408128,0.285361132,0.318126507,0.369611442,2015,115,4/25/2015,WithoutStraw
0.267905282,0.279002117,0.314682514,0.364978596,2015,117,4/27/2015,WithoutStraw
0.265606673,0.277798415,0.30881711,0.363064969,2015,119,4/29/2015,WithoutStraw
0.287457645,0.293401017,0.312355216,0.367447044,2015,124,5/4/2015,WithoutStraw
0.292299454,0.28580768,0.315008816,0.360196823,2015,127,5/7/2015,WithoutStraw
0.328452401,0.316238497,0.335414114,0.363880783,2015,132,5/12/2015,WithoutStraw
0.317965544,0.316007444,0.349950566,0.38977536,2015,194,7/13/2015,WithoutStraw
0.308690177,0.311123614,0.346950259,0.387433175,2015,195,7/14/2015,WithoutStraw
0.256059206,0.283595756,0.331176996,0.372413863,2015,219,8/7/2015,WithoutStraw
0.228950005,0.267398134,0.314122032,0.361503505,2015,222,8/10/2015,WithoutStraw
0.332919474,0.335988347,0.375724058,0.407742894,2015,224,8/12/2015,WithoutStraw
0.29691722,0.308433937,0.34681256,0.387909541,2015,227,8/15/2015,WithoutStraw
0.279005824,0.298047548,0.339324668,0.380076846,2015,229,8/17/2015,WithoutStraw
0.266815728,0.2913965,0.333676499,0.376582219,2015,231,8/19/2015,WithoutStraw
0.249137618,0.281505386,0.332351465,0.367920009,2015,233,8/21/2015,WithoutStraw
0.241979788,0.274982147,0.320389756,0.367048357,2015,236,8/24/2015,WithoutStraw
0.307288135,0.306393433,0.337005241,0.371610961,2015,238,8/26/2015,WithoutStraw
0.323120943,0.32713265,0.364664889,0.397358226,2015,240,8/28/2015,WithoutStraw
0.295124333,0.304341225,0.343317871,0.384187144,2015,243,8/31/2015,WithoutStraw
0.280926815,0.298419676,0.337994136,0.379120985,2015,245,9/2/2015,WithoutStraw
0.27105589,0.292341921,0.330599207,0.374071315,2015,247,9/4/2015,WithoutStraw
0.328316574,0.333608315,0.382195656,0.42018594,2015,253,9/10/2015,WithoutStraw
0.331839555,0.337975046,0.382136396,0.418590616,2015,256,9/13/2015,WithoutStraw
0.321176534,0.325145194,0.364067001,0.408014894,2015,257,9/14/2015,WithoutStraw
0.309781404,0.317467978,0.354027208,0.395833456,2015,259,9/16/2015,WithoutStraw
0.291887264,0.30661434,0.344317534,0.387152134,2015,261,9/18/2015,WithoutStraw
0.263398047,0.286073715,0.325633438,0.376419327,2015,264,9/21/2015,WithoutStraw
0.243159837,0.271355919,0.313210389,0.368225376,2015,266,9/23/2015,WithoutStraw
0.218472978,0.25143883,0.292535854,0.358137038,2015,268,9/25/2015,WithoutStraw
0.306427754,0.303192045,0.32426372,0.366401929,2015,270,9/27/2015,WithoutStraw
0.316466281,0.316824621,0.355264809,0.395113633,2015,272,9/29/2015,WithoutStraw
0.345110902,0.344272341,0.386279258,0.424687857,2015,273,9/30/2015,WithoutStraw
0.320501807,0.319509242,0.356815573,0.399373912,2015,275,10/2/2015,WithoutStraw
0.291047056,0.297754653,0.334891126,0.381528194,2015,279,10/6/2015,WithoutStraw
0.256193664,0.2706245,0.31044138,0.368659245,2015,282,10/9/2015,WithoutStraw
0.282885759,0.28021019,0.314019387,0.366518446,2015,286,10/13/2015,WithoutStraw
0.271763001,0.27356458,0.309200102,0.367021087,2015,287,10/14/2015,WithoutStraw
0.239547822,0.25502875,0.299190245,0.350924006,2015,289,10/16/2015,WithoutStraw
0.200195199,0.222024343,0.264459879,0.337967351,2015,292,10/19/2015,WithoutStraw
0.247247502,0.224586873,0.251178962,0.322498776,2015,296,10/23/2015,WithoutStraw
0.209407704,0.206482587,0.241914898,0.31882538,2015,299,10/26/2015,WithoutStraw
0.269108604,0.25525619,0.278237876,0.334371275,2015,302,10/29/2015,WithoutStraw
0.327982504,0.301632899,0.310615366,0.339228057,2015,307,11/3/2015,WithoutStraw
0.331048639,0.324813888,0.343189575,0.363070592,2015,308,11/4/2015,WithoutStraw
0.32639008,0.321679374,0.357374115,0.403483474,2015,310,11/6/2015,WithoutStraw
0.31259454,0.30785177,0.343837166,0.387527154,2015,313,11/9/2015,WithoutStraw
0.292617604,0.296538391,0.331235145,0.380194623,2015,315,11/11/2015,WithoutStraw
0.258117397,0.270702536,0.30844522,0.367044549,2015,317,11/13/2015,WithoutStraw
0.31509275,0.311092028,0.339650252,0.379532093,2015,320,11/16/2015,WithoutStraw
0.333920505,0.329518083,0.360541103,0.39505501,2015,322,11/18/2015,WithoutStraw
0.3514086,0.349947501,0.402962496,0.432411598,2015,328,11/24/2015,WithoutStraw
0.349114075,0.344339593,0.382730575,0.426577656,2015,329,11/25/2015,WithoutStraw
0.322223941,0.32183635,0.354471647,0.401008877,2015,331,11/27/2015,WithoutStraw
0.35093841,0.347832758,0.388513586,0.432761641,2015,334,11/30/2015,WithoutStraw
0.31637435,0.316988743,0.350798558,0.394799861,2015,337,12/3/2015,WithoutStraw
0.30726875,0.307143038,0.342408366,0.388424543,2015,338,12/4/2015,WithoutStraw
0.323104198,0.31996148,0.353104365,0.393722,2015,342,12/8/2015,WithoutStraw
0.346330127,0.338664495,0.371569305,0.405410792,2015,344,12/10/2015,WithoutStraw
0.336499403,0.33045076,0.365609486,0.402669185,2015,345,12/11/2015,WithoutStraw
0.329338089,0.323584169,0.35555986,0.394542321,2015,349,12/15/2015,WithoutStraw
0.332277174,0.326729723,0.358481631,0.395764666,2015,351,12/17/2015,WithoutStraw
0.318246595,0.314150155,0.347283515,0.3860016,2015,352,12/18/2015,WithoutStraw
0.336129466,0.328372158,0.363221911,0.403980349,2016,4,1/4/2016,WithoutStraw
0.31627093,0.312010919,0.349600307,0.391120123,2016,6,1/6/2016,WithoutStraw
0.298973161,0.298093426,0.335487763,0.37935206,2016,8,1/8/2016,WithoutStraw
0.348363266,0.339830161,0.381817359,0.430220594,2016,13,1/13/2016,WithoutStraw
0.327101763,0.31973152,0.358287403,0.397035914,2016,18,1/18/2016,WithoutStraw
0.303227232,0.308783505,0.343969265,0.38145372,2016,20,1/20/2016,WithoutStraw
0.283084922,0.289456035,0.329964812,0.37876558,2016,22,1/22/2016,WithoutStraw
0.287711706,0.276570817,0.306245602,0.355282104,2016,28,1/28/2016,WithoutStraw
0.315978625,0.299909806,0.320592086,0.35009321,2016,29,1/29/2016,WithoutStraw
0.283944745,0.27249706,0.301480563,0.352136451,2016,32,2/1/2016,WithoutStraw
0.262261309,0.257435725,0.286462678,0.339836375,2016,34,2/3/2016,WithoutStraw
0.233526143,0.241228146,0.273086207,0.328460744,2016,36,2/5/2016,WithoutStraw
0.321641202,0.314764996,0.346199291,0.387270531,2016,41,2/10/2016,WithoutStraw
0.301172359,0.298102075,0.328639422,0.372319624,2016,43,2/12/2016,WithoutStraw
0.326830573,0.320480092,0.35479552,0.398276467,2016,50,2/19/2016,WithoutStraw
0.333511248,0.319840767,0.357276167,0.403163035,2016,53,2/22/2016,WithoutStraw
0.325166968,0.316006011,0.350256409,0.387684795,2016,55,2/24/2016,WithoutStraw
0.354211794,0.33587118,0.371409689,0.40282145,2016,60,2/29/2016,WithoutStraw
0.33932447,0.329243597,0.366131025,0.408644234,2016,62,3/2/2016,WithoutStraw
0.327277872,0.316888431,0.352403894,0.390654684,2016,64,3/4/2016,WithoutStraw
0.323542408,0.322299322,0.353321728,0.390493437,2016,68,3/8/2016,WithoutStraw
0.318340628,0.318541422,0.356338422,0.393007293,2016,69,3/9/2016,WithoutStraw
